Asignatura,URL
Administración para alta dirección,https://aulasvirtuales.santotomas.cl/course/view.php?id=909970
Electivo de Formación Profesional II: Aplicación de aprendizaje de máquinas,https://aulasvirtuales.santotomas.cl/course/view.php?id=909975
Estadística para Ingeniería,https://aulasvirtuales.santotomas.cl/course/view.php?id=909981
Formulación y gestión de proyectos A+S,https://aulasvirtuales.santotomas.cl/course/view.php?id=909987
Machine Learning,https://aulasvirtuales.santotomas.cl/course/view.php?id=909992
Modelos de optimización,https://aulasvirtuales.santotomas.cl/course/view.php?id=909997
Nivelación Ciencias Básicas,https://aulasvirtuales.santotomas.cl/course/view.php?id=910002
Econometría,https://aulasvirtuales.santotomas.cl/course/view.php?id=910006
Inglés Avanzado II,https://aulasvirtuales.santotomas.cl/course/view.php?id=910010
Viticultura y Enología,https://aulasvirtuales.santotomas.cl/course/view.php?id=910019
Emprendimiento en Salud I,https://aulasvirtuales.santotomas.cl/course/view.php?id=910027
Emprendimiento en Salud II,https://aulasvirtuales.santotomas.cl/course/view.php?id=910036
Finanzas Personales,https://aulasvirtuales.santotomas.cl/course/view.php?id=910040
Electivo de Formación Profesional II: Análisis de Voladuras en Minería,https://aulasvirtuales.santotomas.cl/course/view.php?id=910043
Operación Remota y Robótica en Minería,https://aulasvirtuales.santotomas.cl/course/view.php?id=910046
"Ética, ciudadanía y sociedad",https://aulasvirtuales.santotomas.cl/course/view.php?id=910050
Electivo: Gestión de Marketing Digital,https://aulasvirtuales.santotomas.cl/course/view.php?id=910054
Estrategia Competitiva A+S,https://aulasvirtuales.santotomas.cl/course/view.php?id=910058
Macroeconomía,https://aulasvirtuales.santotomas.cl/course/view.php?id=910062
Valoración Integral de la Persona Mayor,https://aulasvirtuales.santotomas.cl/course/view.php?id=910069
Fundamentos del Envejecimiento y Atención Integral,https://aulasvirtuales.santotomas.cl/course/view.php?id=910077
Análisis neuromuscular del movimiento humano,https://aulasvirtuales.santotomas.cl/course/view.php?id=910087
Comportamiento Alimentario y Nutrición en Grupos y comunidades,https://aulasvirtuales.santotomas.cl/course/view.php?id=910096
"Antrozoología, Bienestar y Sociedad",https://aulasvirtuales.santotomas.cl/course/view.php?id=910099
Manejo de Rumiantes en Pastoreo,https://aulasvirtuales.santotomas.cl/course/view.php?id=910100
Manejo y Conservación en Fauna Silvestre,https://aulasvirtuales.santotomas.cl/course/view.php?id=910103
Tecnologías de Producción Acuícola,https://aulasvirtuales.santotomas.cl/course/view.php?id=910106
Componentes Contaminantes y Tóxicos en Alimentos,https://aulasvirtuales.santotomas.cl/course/view.php?id=910110
Mercado I+D+i -2,https://aulasvirtuales.santotomas.cl/course/view.php?id=910119
Liderazgo y coaching para el cambio organizacional,https://aulasvirtuales.santotomas.cl/course/view.php?id=910125
Gestión de Proyectos y Administración,https://aulasvirtuales.santotomas.cl/course/view.php?id=910133
Herramientas y atributos de gestión II,https://aulasvirtuales.santotomas.cl/course/view.php?id=910139
Terapia Visual,https://aulasvirtuales.santotomas.cl/course/view.php?id=910147
